,hospital_id,date,高度急性期,急性期,回復期,慢性期,介護保険施設等
0,H00126,2021-08-01,7,123,0,0,0
1,H00126,2021-08-02,7,123,0,0,0
2,H00126,2021-08-03,7,123,0,0,0
3,H00126,2021-08-04,7,123,0,0,0
4,H00126,2021-08-05,7,123,0,0,0
5,H00126,2021-08-06,7,123,0,0,0
6,H00126,2021-08-07,7,123,0,0,0
7,H00126,2021-08-08,7,123,0,0,0
8,H00126,2021-08-09,7,123,0,0,0
9,H00126,2021-08-10,7,123,0,0,0
10,H00126,2021-08-11,7,123,0,0,0
11,H00126,2021-08-12,7,123,0,0,0
12,H00126,2021-08-13,7,123,0,0,0
13,H00126,2021-08-14,7,123,0,0,0
14,H00126,2021-08-15,7,123,0,0,0
15,H00126,2021-08-16,7,123,0,0,0
16,H00126,2021-08-17,7,123,0,0,0
17,H00126,2021-08-18,7,123,0,0,0
18,H00126,2021-08-19,7,123,0,0,0
19,H00126,2021-08-20,7,123,0,0,0
20,H00126,2021-08-21,7,123,0,0,0
