,hospital_id,date,高度急性期,急性期,回復期,慢性期,介護保険施設等
0,H00003,2021-08-01,87,1,0,0,0
1,H00003,2021-08-02,87,1,0,0,0
2,H00003,2021-08-03,87,1,0,0,0
3,H00003,2021-08-04,87,1,0,0,0
4,H00003,2021-08-05,87,1,0,0,0
5,H00003,2021-08-06,87,1,0,0,0
6,H00003,2021-08-07,87,1,0,0,0
7,H00003,2021-08-08,87,1,0,0,0
8,H00003,2021-08-09,87,1,0,0,0
9,H00003,2021-08-10,87,1,0,0,0
10,H00003,2021-08-11,87,1,0,0,0
11,H00003,2021-08-12,87,1,0,0,0
12,H00003,2021-08-13,87,1,0,0,0
13,H00003,2021-08-14,87,1,0,0,0
14,H00003,2021-08-15,87,1,0,0,0
15,H00003,2021-08-16,87,1,0,0,0
16,H00003,2021-08-17,87,1,0,0,0
17,H00003,2021-08-18,87,1,0,0,0
18,H00003,2021-08-19,87,1,0,0,0
19,H00003,2021-08-20,87,1,0,0,0
20,H00003,2021-08-21,87,1,0,0,0
