,hospital_id,date,高度急性期,急性期,回復期,慢性期,介護保険施設等
0,H00034,2021-08-01,0,45,6,0,0
1,H00034,2021-08-02,0,45,6,0,0
2,H00034,2021-08-03,0,45,6,0,0
3,H00034,2021-08-04,0,45,6,0,0
4,H00034,2021-08-05,0,45,6,0,0
5,H00034,2021-08-06,0,45,6,0,0
6,H00034,2021-08-07,0,45,6,0,0
7,H00034,2021-08-08,0,45,6,0,0
8,H00034,2021-08-09,0,45,6,0,0
9,H00034,2021-08-10,0,45,6,0,0
10,H00034,2021-08-11,0,45,6,0,0
11,H00034,2021-08-12,0,45,6,0,0
12,H00034,2021-08-13,0,45,6,0,0
13,H00034,2021-08-14,0,45,6,0,0
14,H00034,2021-08-15,0,45,6,0,0
15,H00034,2021-08-16,0,45,6,0,0
16,H00034,2021-08-17,0,45,6,0,0
17,H00034,2021-08-18,0,45,6,0,0
18,H00034,2021-08-19,0,45,6,0,0
19,H00034,2021-08-20,0,45,6,0,0
20,H00034,2021-08-21,0,45,6,0,0
