,hospital_id,date,高度急性期,急性期,回復期,慢性期,介護保険施設等
0,H00024,2021-08-01,2,36,0,0,0
1,H00024,2021-08-02,2,36,0,0,0
2,H00024,2021-08-03,2,36,0,0,0
3,H00024,2021-08-04,2,36,0,0,0
4,H00024,2021-08-05,2,36,0,0,0
5,H00024,2021-08-06,2,36,0,0,0
6,H00024,2021-08-07,2,36,0,0,0
7,H00024,2021-08-08,2,36,0,0,0
8,H00024,2021-08-09,2,36,0,0,0
9,H00024,2021-08-10,2,36,0,0,0
10,H00024,2021-08-11,2,36,0,0,0
11,H00024,2021-08-12,2,36,0,0,0
12,H00024,2021-08-13,2,36,0,0,0
13,H00024,2021-08-14,2,36,0,0,0
14,H00024,2021-08-15,2,36,0,0,0
15,H00024,2021-08-16,2,36,0,0,0
16,H00024,2021-08-17,2,36,0,0,0
17,H00024,2021-08-18,2,36,0,0,0
18,H00024,2021-08-19,2,36,0,0,0
19,H00024,2021-08-20,2,36,0,0,0
20,H00024,2021-08-21,2,36,0,0,0
