,hospital_id,date,高度急性期,急性期,回復期,慢性期,介護保険施設等
0,H00010,2021-08-01,3,31,1,0,0
1,H00010,2021-08-02,3,31,1,0,0
2,H00010,2021-08-03,3,31,1,0,0
3,H00010,2021-08-04,3,31,1,0,0
4,H00010,2021-08-05,3,31,1,0,0
5,H00010,2021-08-06,3,31,1,0,0
6,H00010,2021-08-07,3,31,1,0,0
7,H00010,2021-08-08,3,31,1,0,0
8,H00010,2021-08-09,3,31,1,0,0
9,H00010,2021-08-10,3,31,1,0,0
10,H00010,2021-08-11,3,31,1,0,0
11,H00010,2021-08-12,3,31,1,0,0
12,H00010,2021-08-13,3,31,1,0,0
13,H00010,2021-08-14,3,31,1,0,0
14,H00010,2021-08-15,3,31,1,0,0
15,H00010,2021-08-16,3,31,1,0,0
16,H00010,2021-08-17,3,31,1,0,0
17,H00010,2021-08-18,3,31,1,0,0
18,H00010,2021-08-19,3,31,1,0,0
19,H00010,2021-08-20,3,31,1,0,0
20,H00010,2021-08-21,3,31,1,0,0
