,hospital_id,date,高度急性期,急性期,回復期,慢性期,介護保険施設等
0,H00012,2021-08-01,5,26,0,0,0
1,H00012,2021-08-02,5,26,0,0,0
2,H00012,2021-08-03,5,26,0,0,0
3,H00012,2021-08-04,5,26,0,0,0
4,H00012,2021-08-05,5,26,0,0,0
5,H00012,2021-08-06,5,26,0,0,0
6,H00012,2021-08-07,5,26,0,0,0
7,H00012,2021-08-08,5,26,0,0,0
8,H00012,2021-08-09,5,26,0,0,0
9,H00012,2021-08-10,5,26,0,0,0
10,H00012,2021-08-11,5,26,0,0,0
11,H00012,2021-08-12,5,26,0,0,0
12,H00012,2021-08-13,5,26,0,0,0
13,H00012,2021-08-14,5,26,0,0,0
14,H00012,2021-08-15,5,26,0,0,0
15,H00012,2021-08-16,5,26,0,0,0
16,H00012,2021-08-17,5,26,0,0,0
17,H00012,2021-08-18,5,26,0,0,0
18,H00012,2021-08-19,5,26,0,0,0
19,H00012,2021-08-20,5,26,0,0,0
20,H00012,2021-08-21,5,26,0,0,0
