,hospital_id,date,高度急性期,急性期,回復期,慢性期,介護保険施設等
0,H00033,2021-08-01,45,0,0,0,0
1,H00033,2021-08-02,45,0,0,0,0
2,H00033,2021-08-03,45,0,0,0,0
3,H00033,2021-08-04,45,0,0,0,0
4,H00033,2021-08-05,45,0,0,0,0
5,H00033,2021-08-06,45,0,0,0,0
6,H00033,2021-08-07,45,0,0,0,0
7,H00033,2021-08-08,45,0,0,0,0
8,H00033,2021-08-09,45,0,0,0,0
9,H00033,2021-08-10,45,0,0,0,0
10,H00033,2021-08-11,45,0,0,0,0
11,H00033,2021-08-12,45,0,0,0,0
12,H00033,2021-08-13,45,0,0,0,0
13,H00033,2021-08-14,45,0,0,0,0
14,H00033,2021-08-15,45,0,0,0,0
15,H00033,2021-08-16,45,0,0,0,0
16,H00033,2021-08-17,45,0,0,0,0
17,H00033,2021-08-18,45,0,0,0,0
18,H00033,2021-08-19,45,0,0,0,0
19,H00033,2021-08-20,45,0,0,0,0
20,H00033,2021-08-21,45,0,0,0,0
